SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
George Canning,,,Packet ship,1827.0,"New York, NY",1832-01-07,1832.0,1,7,Absecon Beach,39.35709,-74.40932,39.4284503,-74.4957076,Stranded,,,131.0,30.6,13.3,551.0,,,"Liverpool, England","New York, NY",Francis Allyn,,,0.0,,,Dry goods & hardware,,A,Y,N,Total loss,39.35709,-74.40932
Sovereign (1835),,Black X Line,Packet ship,1830.0,"New York, NY",1835-02-17,1835.0,2,17,Squan Beach,39.97916,-74.03333,-,-,Stranded in storm,,,124.2,28.8,14.4,462.0,,,"London, England","New York, NY",,,,1.0,,,,,A,,N,,39.97916,-74.03333
Garrick,,E K Collins,Packet ship,1836.0,"New York, NY",1841-01-06,1841.0,1,6,Deal Beach,,,40.2512782,-73.9921853,Stranded in dense fog,Wood,US,157.6,35.4,21.0,895.0,,,"Liverpool, England","New York, NY",A S Palmer,67.0,385.0,,,,General cargo,,N,N,N,Refloated,40.2512782,-73.9921853
Frankfort,,New Orleans - New York Line,Packet ship,1839.0,"New York, NY",1842-01-14,1842.0,1,14,Little Egg Harbor bar,,,39.6204823,-74.319235,Grounded,,US,151.0,34.0,20.0,799.0,,"New York, NY","New Orleans, LA","New York, NY",Russell,,,,100000.0,,,,Y,Y,N,Total loss,39.6204823,-74.319235
Sheffield,,Red Star Line,Packet ship,1831.0,"New York, NY",1843-11-11,1843.0,11,11,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded,Wood,US,133.0,31.0,15.6,578.0,,,,,Popham,130.0,,,,,,,N,N,N,Sank; Raised & rebuilt as a whaler,41.4218208,-73.2833176
North America (1843),,,Packet ship,1831.0,"New York, NY",1843-02-14,1843.0,2,14,Shrewsbury Inlet,40.39666,-73.96666,-,-,Grounded,,,184.5,31.5,15.8,610.0,,,"Liverpool, England","New York, NY",Lowber,,,,,,,,A,Y,N,Total Loss,40.39666,-73.96666
Linden (1845),,,Brig,1839.0,"Mystic, CT",1845-12-24,1845.0,12,24,Asbury Park,,,40.2203907,-74.0120817,Grounded,Wood,US,,,14.0,390.0,,"New Orleans, LA","Charleston, SC","New York, NY",Knudson,,,0.0,,,Rice; cotton,,N,N,N,Refloated,40.2203907,-74.0120817
Henry Clay (1846),,,Swallowtail Packet,1845.0,"New York, NY",,1846.0,3,,Squan Beach,,,-,-,Stranded,,,181.8,38.0,29.8,1207.0,,,"Liverpool, England","New York, NY",Nye,,300.0,6.0,,,,,N,N,N,Refloated; returned to service,,
Auburn,,Savannah Line,Packet ship,1837.0,"New York, NY",1847-09-25,1847.0,9,25,Barnegat Light S 5 mi,39.69174,-74.13736,39.7576202,-74.1062466,Stranded,,,117.0,28.7,16.9,427.0,,"New Orleans, LA","New Orleans, LA","New York, NY",E S Hoyt,26.0,,19.0,25000.0,45000.0,Cotton & hemp,,A,Y,N,Total loss,39.69174,-74.13736
Rebecca C Fisher,R C Fisher,,Brig,1840.0,"New Haven, CT",1848-04-19,1848.0,4,19,Barnegat,,,39.7649223,-74.2693297,Burned due to lightning strike,Wood,US,88.6,24.1,11.1,222.0,,"New Haven, CT","Apalachicola, FL","New York, NY",,,,,,,,,Y,Y,N,Total loss; Crew saved,39.7649223,-74.2693297
Thomas Jefferson,,,Schooner,1841.0,"East River, VA",1851-09-22,1851.0,9,22,"Highlands, NJ",,,40.40372,-73.991527,"Collision w/ ""Cushnoe""",Wood,US,68.9,20.9,6.1,82.0,,"Astoria, NY","Wilmington, DE","New York, NY",Phillips,4.0,,0.0,,,Coal,,Y,Y,N,Abandoned before sinking,40.40372,-73.991527
Western World,,D & A Kingsland,Packet ship,1845.0,"Portsmouth, NH",1853-10-22,1853.0,10,22,Squan Beach E 400yds,40.15000,-74.01557,-,-,Grounded in gale,Wood,US,183.0,40.0,20.0,1354.0,,"New York, NY","Liverpool, England","New York, NY",John G Moses,,600.0,0.0,,,"China, cowboy spurs, misc",,A,,Y,,40.15,-74.01557
Cornelius Grinnell (1853),,"Grinnell, Miniturn & Co",Packet ship,1850.0,"East Boston, MA",1853-01-14,1853.0,1,14,Squan Beach,,,-,-,Stranded,,US,172.5,37.2,30.0,979.6,,"Boston, MA","London, England","New York, NY",Fletcher,,234.0,0.0,,,General,Squan Beach #9,N,N,Y,All saved by LSS crew w/ lifecar; Refloated,,
Phantom (1854),,,Medium clipper,1852.0,"Medford, MA",1854-02-14,1854.0,2,14,Sandy Hook Flynn Knoll,,,41.4218208,-73.2833176,Stranded,,,195.0,37.0,21.6,1174.0,,,"Rio de Janiero, Brazil","New York, NY",Hallet,,,,,,Guano,,N,N,N,Refloated,41.4218208,-73.2833176
Powhatan (1854),Powhattan,William Graham,Packet ship,1837.0,"Baltimore, MD",1854-04-16,1854.0,4,16,"Surf City, NJ",39.65967,-74.16305,39.6620638,-74.1651377,Stranded in blinding snowstorm,Wood,US,132.9,31.7,15.9,598.0,,"Baltimore, MD","Havre, France","New York, NY",James Meyers,29.0,311.0,340.0,18000.0,,General from France and Germany,,A,Y,Y,Total loss,39.65967,-74.16305
Underwriter,,Kermit &Carew,Passenger liner,1850.0,"New York, NY",1854-04-18,1854.0,4,18,Squan Inlet S 4.5 mi,40.02833,-74.05,-,-,Stranded in storm,Wood,US,103.0,37.2,30.5,1168.0,,"New York, NY","Liverpool, England","New York, NY",Bird,,640.0,0.0,85000.0,150000.0,,,A,N,N,Refloated,40.02833,-74.05
S J Roberts,,Dutch,Bark,1852.0,"Prospect, ME",1854-02-22,1854.0,2,22,Absecon Inlet South bar,,,39.3740643,-74.4097029,Grounded in storm,,,,,13.0,298.0,,"Providence, RI","Marseilles, France","Providence, RI",Dutch,,,,,,,,Y,Y,N,Total loss,39.3740643,-74.4097029
Montezuma,,Black Ball Line,Packet ship,1843.0,"New York, NY",1854-05-18,1854.0,5,18,"Jones Beach, LI",,,40.6106158,-73.4445392,Stranded,Wood,US,162.0,35.8,21.0,924.0,,"New York, NY","Liverpool, England","New York, NY",DeCourcey,,400.0,0.0,,,,,N,N,Y,,40.6106158,-73.4445392
F J Brognard,,Corwin,Schooner,1846.0,"Mays Landing, NJ",,1855.0,4,,Little Egg Harbor,,,39.6204823,-74.319235,Collision,,,,,10.0,160.0,,"Mays Landing, NJ",,,,,,,,,,,N,N,N,Towed to New York,39.6204823,-74.319235
White Squall,,Cumberland Coal Co,Schooner,1852.0,"Newburgh, NY",1855-02-27,1855.0,2,27,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Grounded,Wood,,,,9.0,250.0,,"New York, NY","Baltimore, MD","New York, NY",Smith,,,,,,,,,,N,,41.4218208,-73.2833176
Amelia P Starkey,,Kelly et al,Schooner,1853.0,"Essex, MA",1855-05-09,1855.0,5,9,Highlands E 8 mi,,,-,-,Dismasted,,,,,9.0,96.0,,,,,,,,,,,,,N,N,N,,,
Woodruff,,Mason,Schooner,1854.0,"Bridgeton, NJ",1855-11-29,1855.0,11,29,Sandy Hook,,,41.4218208,-73.2833176,Damaged in gale,,,,,10.0,262.0,,"Bridgeton, NJ","Boston, MA","Philadelphia, PA",Nelson,,,,,,,,N,N,N,Lost some sails,41.4218208,-73.2833176
Race Rock,,,Schooner,1853.0,"Sag Harbor, ME",1856-12-24,1856.0,12,24,Hereford Inlet bar,,,39.01094,-74.7834445,Grounded,Wood,US,,,8.0,195.0,,"Sag Harbor, ME","Philadelphia, PA","Fall River, MA",Brown,5.0,,0.0,,,,,Y,Y,N,Total loss,39.01094,-74.7834445
Lady Seymour,,Shaw,Brig,1852.0,"Pogwash, NS",,1856.0,12,,Highlands E 40 mi,,,-,-,Leaking; In distress,Wood,,,,11.0,138.0,,"Halifax, NS","New York, NY","Halifax, NS",Shaw,,,,,,,,N,N,N,Towed to NY,,
Linden (1856),,,Brig,1839.0,"Mystic, CT",1856-03-02,1856.0,3,2,Squan Inlet N 1 mi,,,39.1139461,-74.7136114,Stranded,Wood,US,,,14.0,390.0,,"New Orleans, LA","Charleston, SC","New York, NY",Kirby,,,0.0,,,Sugar; molasses,,Y,Y,N,Total loss,39.1139461,-74.7136114
Charles Colgate (1856),,Maibler & Lord,Schooner,1850.0,"Patchogue, NY",1856-01-13,1856.0,1,13,Brigantine Shoal,39.40132,-74.35098,39.387617,-74.3345893,Stranded in storm,,,,,11.0,290.0,,"New York, NY",,,,5.0,,0.0,,,,,A,Y,N,Total loss; Crew saved,39.40132,-74.35098
Anna Jenkins,,Potter,Schooner,1851.0,"Brookhaven, NY",1856-12-15,1856.0,12,15,Barnegat Shoal,,,39.7705251,-74.26185,Grounded,Wood,,,,10.0,117.0,,"Providence, RI",,,Shearman,,,,,,,,Y,Y,N,Total loss,39.7705251,-74.26185
New York (1856),,G Buckley,Passenger liner,1844.0,"New York, NY",1856-12-20,1856.0,12,20,Barnegat Inlet N 2.5 mi,39.80247,-74.07457,39.7660179,-74.1016824,Grounded in storm,,,,,15.0,524.0,,,"Liverpool, England","New York, NY",McKennon,27.0,301.0,0.0,,,Flour; Tobacco,,A,Y,N,Captain stabbed by crew,39.80247,-74.07457
Cardiff,,,Brig,,,1856-03-19,1856.0,3,19,Corsons Inlet bar,39.20278,-74.64166,39.2158381,-74.6438383,Grounded,,,,,9.0,,,,"Les Cayes, Haiti","New York, NY",,10.0,,0.0,,,"Log, wood, coffee, honey",,A,Y,N,Ship lost; Cargo saved,39.20278,-74.64166
Kirkland,,Lynch,Bark,1850.0,"Guysboro, NF",1856-09-29,1856.0,9,29,Absecon Inlet,,,39.3740643,-74.4097029,Stranded,,,,,10.0,160.0,,"St John, NB, Canada","Rio de Janiero, Brazil","New Orleans, LA",Lynch,,,,,,,,,,N,,39.3740643,-74.4097029
Princess Louisa,,T Staller,Brig,1848.0,"Poole, England",,1857.0,1,,"Off Barnegat, NJ",,,39.7649223,-74.2693297,Dismasted; Stranded,,England,,,13.0,2112.0,,,,,,,,,,,,,,,N,,39.7649223,-74.2693297
Carlos Alberto,Charles Albert,,Brig,,,1857-08-28,1857.0,8,28,Barnegat Inlet N 11.5 mi,39.92812,-74.06906,39.7660179,-74.1016824,Stranded,Wood,Italy,,,12.0,,,Sardinia,"Genoa, Italy","New York, NY",Revello,15.0,44.0,3.0,,,Marble; wine; cheese,,A,,N,,39.92812,-74.06906
Samuel Willets,,Tapscott's Line,Sloop - packet ship,1854.0,"Mystic, CT",1857-07-02,1857.0,7,2,Squan Inlet S 8 mi,39.98740,-74.05702,-,-,Stranded,Wood,US,,,19.0,1386.0,,"Mystic, CT","Liverpool, England","New York, NY","Eliliu Spicer, Jr",16.0,,0.0,80000.0,,4 ponies,Chadwick #12,A,Y,N,Cargo saved; ship lost,39.9874,-74.05702
Charles Albert,Carlos Alberto,,Brig,,,1857-08-28,1857.0,8,28,Barnegat Inlet N 11.5 mi,39.92812,-74.07083,39.7660179,-74.1016824,Stranded,Wood,Italy,,,12.0,,,Sardinia,"Genoa, Italy","New York, NY",Revello,15.0,44.0,3.0,,,Marble; wine; cheese,,A,,N,,39.92812,-74.07083
Flying Dutchman,,,Clipper ship,1852.0,"New York, NY",1858-02-25,1858.0,2,25,Brigantine Beach,,,39.4020614,-74.3668129,Stranded,Wood,,190.0,38.6,21.6,1257.0,,"New York, NY","San Francisco, CA","New York, NY",Hubbard,,,0.0,50000.0,150000.0,Wheat & hides,,Y,Y,N,Broke up; Total loss,39.4020614,-74.3668129
Charles Colgate (1858),,Maibler & Lord,Schooner,1850.0,"Patchogue, NY",1858-02-16,1858.0,2,16,Squan Beach,,,-,-,Stranded in storm,,,,,11.0,290.0,,"New York, NY","Baltimore, MD","New York, NY",,5.0,,0.0,,,Corn,,N,N,N,Refloated 2/18/1858; Crew saved,,
Sarah L Hills,,M C Cammon,Schooner,1853.0,"Rockland, ME",1858-09-15,1858.0,9,15,Corsons Inlet,,,39.2158381,-74.6438383,Stranded,,,,,10.0,170.0,,"Rockland, ME","Portland, ME","Philadelphia, PA",M C Cammon,5.0,,,,,,,Y,Y,N,Total loss,39.2158381,-74.6438383
Princeton (1859),,Hink & Pones,Brig,1854.0,"Rockland, ME",1859-03-09,1859.0,3,9,Squan Inlet S 7.5 mi,,,-,-,Stranded,,,95.0,25.0,11.0,193.0,,,"Kingston, Jamaica","New York, NY",Wills,,,0.0,,,Logwood,,N,N,N,Refloated 3/25/1859,,
Henry C Winship,,,Schooner,1873.0,"Bath, ME",1889-08-23,1859.0,8,23,Brigantine Shoal,,,39.387617,-74.3345893,Stranded,,,138.3,32.3,15.0,487.0,472.47,"Boston, MA","Windsor, NS","Baltimore, MD",Doaue,9.0,,0.0,10000.0,450.0,Plaster,,N,N,N,#95140; Refloated,39.387617,-74.3345893
Hannah Grant,,B & J Hale,Schooner,1847.0,"Newburyport, MA",1860-04-03,1860.0,4,3,Townsends Inlet,,,39.1265265,-74.7114399,Stranded,,US,,,9.5,104.0,,"Newburyport, MA","Portland, ME","Philadelphia, PA",,,,,,,"Apples, fish",,N,N,N,Refloated,39.1265265,-74.7114399
Amelia (1860),,,Ship,,,1860-03-20,1860.0,3,20,Great Egg Harbor bar,39.29273,-74.54788,39.3042822,-74.6496034,Stranded & bilged,,,,,9.0,,,"New York, NY","New Orleans, LA","New York, NY",Raymond,16.0,,,60000.0,,Flour,,A,Y,N,Total loss,39.29273,-74.54788
Wabamo,,,Schooner,1854.0,"Wiscasset, ME",1860-03-14,1860.0,3,14,Sandy Hook,,,41.4218208,-73.2833176,Burned,,,,,17.0,676.0,,,"New York, NY","Rotterdam, Holland",Crocker,,,,30000.0,80000.0,,Sandy Hook #1,Y,Y,Y,Burned up; total loss,41.4218208,-73.2833176
Rideout,,,Brig,1839.0,"Bath, ME",,1860.0,,,Squan Inlet S 5.5 mi,,,-,-,,Wood,,,,10.0,136.0,,Vinalhaven,,,,,,,,,,,,,N,,,
Fair Star,,Atlantic Yachting Co,Clam boat,1951.0,"St Augustine, FL",1861-01-19,1861.0,1,19,Absecon Inlet,,,39.3740643,-74.4097029,Foundered,Wood,US,58.7,18.5,8.2,63.0,28.0,"Philadelphia, PA",,Fishing trip,,2.0,,0.0,,,350 bushels clams,,Y,Y,N,#163107: Total loss; crew saved,39.3740643,-74.4097029
Emeline (1862),,,Schooner,1853.0,"Cherryfield, ME",1862-07-27,1862.0,7,27,Barnegat E 20 mi,,,39.6803897,-74.2377252,Burned,Wood,,108.7,28.4,12.4,345.0,,"New York, NY","New York, NY","New Orleans, LA",Dennison,9.0,2.0,0.0,,,General merchandise,,Y,Y,N,#1438; Total loss,39.6803897,-74.2377252
Arkwright,,Spofford & Tileston,Ship,1855.0,"Portsmouth, NH",1862-02-05,1862.0,2,5,"Long Branch, NJ",,,40.3042778,-73.9923596,Grounded,,,192.0,38.0,24.0,1244.0,,"New York, NY",,,Caulkins,,,0.0,,,Salt,,N,N,N,Refloated,40.3042778,-73.9923596
Quango (1862),,B D Archibald & Co.,Brig,1860.0,"Sydney, NS",1862-06-05,1862.0,6,5,Squan Inlet S 6 mi,,,40.8263214,-74.068107,Grounded,Wood,England,114.0,26.8,12.4,320.0,,"Sydney, NS",,"New York, NY",Brown,,,,,,Coal,,N,N,N,#2308; Crew rescued using Life Car,40.8263214,-74.068107
James Cook,,B Sherman & Co,Bark,1851.0,"Waldoboro, ME",1862-06-06,1862.0,6,6,Corsons Inlet bar,,,39.2158381,-74.6438383,Stranded,,,111.0,24.4,12.6,299.0,,"Boston, MA",Cuba,"New York, NY",Blanchard,,,,,,Molasses,,,,N,,39.2158381,-74.6438383
A E Douglass,,,Schooner,1855.0,,1862-06-04,1862.0,6,4,Barnegat N 8 mi,,,39.7653662,-74.2289916,Foundered,Wood,US,,,9.0,,150.0,"Middletown, CT","Philadelphia, PA","Boston, MA",Coleman,3.0,3.0,5.0,,,Coal,,,,N,,39.7653662,-74.2289916
Reindeer (1862),,J Snow,Brig,1859.0,"Shelbourne, NS",1862-07-11,1862.0,7,11,Barnegat S 10 mi,,,39.7568282,-74.2437399,Stranded; Bilged,Wood,England,114.0,25.3,11.1,260.0,,"Shelbourne, NS","St Jago, Jamaica","New York, NY",George Holman,,,,,,"Sugar, mollases, hogsheads",,Y,Y,N,Total loss,39.7568282,-74.2437399
Prowess,,Hulse,Schooner,1855.0,"Brookhaven, NY",1862-01-31,1862.0,1,31,Townsends Inlet,39.11518,-74.69828,39.1265265,-74.7114399,,Wood,US,,,10.0,267.0,,,"New York, NY","Baltimore, MD",Hulse,5.0,,,,,General,,A,Y,N,Total loss,39.11518,-74.69828
James Andrews,,A F Cochran,Bark,1847.0,"Newcastle, ME",1862-11-08,1862.0,1,18,Barnegat Shoal,,,39.7705251,-74.26185,Stranded,Wood,US,,,12.0,275.0,,"Boston, MA","Washington, DC","Portsmouth Grove, RI",Hathaway,8.0,,8.0,,,,,Y,Y,N,#1426; Total loss,39.7705251,-74.26185
Bird of the Wave,,W F Weld & Co,Brig,1857.0,"Kingston, MA",1863-05-04,1863.0,5,4,Highlands of Navesink,,,40.39964,-74.03652,Grounded in fog,,,80.0,23.0,9.0,178.0,,"Boston, MA","Port au Prince, Haiti","Boston, MA",,,,0.0,,,"Cotton, honey, logwood",,N,N,N,Refloated,40.39964,-74.03652
Kentucky,,"Welsh, Carver & Chase",Brig,1855.0,"Searsport, ME",1863-07-15,1863.0,7,15,Sandy Hook,,,41.4218208,-73.2833176,"Collision w/ ""China""",Wood,,110.3,26.3,10.2,260.0,,"New York, NY","Cardenas, Mexico",,,,,,,,Sugar,,N,N,N,#1634; Refloated,41.4218208,-73.2833176
Argean,,G W Hall,Bark,1859.0,"Warren, RI",1863-07-07,1863.0,7,7,Brigantine Beach,,,39.4020614,-74.3668129,Stranded,Wood,US,,,15.0,,,"Providence, RI","New Orleans, LA","New York, NY",Potter,,,,,,Sugar,,N,N,N,#230; Refloated,39.4020614,-74.3668129
Excelsior (1863),,Riley et al,Schooner,1857.0,"Bridgeton, NJ",1863-12-17,1863.0,12,17,Highlands Ocean House,,,41.3103616,-71.8536325,Grounded,,,,,9.0,184.0,,"Bridgeton, NJ","Boston, MA","Philadelphia, PA",Roberts,,,,,,,,,,N,#1551,41.3103616,-71.8536325
John L Darling,,S Adams & Co,Schooner,1854.0,"Port Jefferson, NY",1863-02-13,1863.0,2,13,Squan Inlet,,,-,-,"Collision w/ ""Ocean Queen""",Wood,US,,,9.0,235.0,,"Providence, RI","Baltimore, MD","Providence, RI",,,,,,,Corn,,Y,Y,N,Run ashore after collision; Total loss,,
Mahlon Betts,,Betts & Pedrick,Schooner,1855.0,"Wilmington, DE",1863-05-30,1863.0,5,30,Tuckerton Harbor,,,39.603174,-74.340145,Burned,,,,,10.0,196.0,,"Wilmington, DE","New York, NY","Washington, DC",C D Thompson,,,,,,Hay & oats,,,,N,#3133,39.603174,-74.340145
Sardinian,,F Talbot,Schooner,1859.0,"Harrington, ME",1863-07-08,1863.0,7,8,Absecon Light S 7 mi,,,39.3662285,-74.4143073,Grounded,Wood,US,84.5,25.1,8.6,149.0,,"Harrington, ME","Baltimore, MD","Boston, MA",,,,,,,,,,,N,#4370,39.3662285,-74.4143073
W S Lindsay,,Horace Gray,Sailing ship,1854.0,"Bath, ME",1863-12-13,1863.0,12,13,Sandy Hook,,,41.4218208,-73.2833176,Stranded,Wood,US,186.0,37.0,29.0,1165.0,,"Bath, ME","Havre, France","New York, NY",Patten,,300.0,0.0,,,,,Y,Y,N,Cargo saved; ship lost,41.4218208,-73.2833176
Dashaway,,W. Heard,Brig,1859.0,"Prince Edward Island, CA",1863-01-15,1863.0,1,15,Pecks Beach,39.24410,-74.61327,39.246322,-74.6123601,Stranded,,England,,,12.0,163.0,,Prince Edward Island,"Messina, Sicily","Philadelphia, PA",,,,,,,Lemons & oranges,,A,,N,date of loss 12/30/1862 ?,39.2441,-74.61327
Lawrence (1863),,Ryder & Hardy,Bark,1860.0,"East Boston, MA",1863-03-20,1863.0,3,20,Pecks Beach,39.25022,-74.60306,39.246322,-74.6123601,Wrecked,Wood,,,,14.0,479.0,,"Boston, MA","Messina, Sicily","New York, NY",,,,,,,Oranges & lemons,,A,Y,N,Total loss,39.25022,-74.60306
Honduras,,J Cross,Schooner,1848.0,"Essex, MA",1863-12-11,1863.0,12,11,Old Cranberry Inlet,,,-,-,Stranded,Oak,,,,10.0,107.0,,"Provincetown, MA","Provincetown, MA","Philadelphia, PA",J Cross,,,,,,,,,,N,#2165,,
Allies,,T Cowan,Brig,1855.0,Nova Scotia,1863-03-30,1863.0,3,30,Corsons Inlet,,,39.2158381,-74.6438383,Foundered,,England,98.6,21.1,11.1,149.0,,"Whitehaven, England","Cow Bay, NS","New York, NY",Christopher,10.0,,0.0,,,"Cotton, Wool, hides",,Y,Y,N,Ship lost; cargo saved,39.2158381,-74.6438383
Anderson (1863),,,Ship,,,1863-09-07,1863.0,9,7,Absecon Beach,39.36025,-74.41102,39.4284503,-74.4957076,Grounded,,Italy,,,15.0,,,"Lisbon, Portugal","Lisbon, Portugal","New York, NY",Posey,16.0,,,,,"Wool, marble, salt, wood",,A,Y,N,Total loss,39.36025,-74.41102
Madeira,,O P Collins et al,Brig Half,1856.0,"Hallowell, ME",1863-10-04,1863.0,10,4,Sandy Hook Point,,,40.4716971,-74.0167147,"Collision w/ ""Clyde""",Wood,,106.0,26.0,11.0,281.0,,"Barbados, WI","St Johns, Puerto Rico","New York, NY",Morton,,,0.0,,,Malasses,,Y,Y,N,#1798; Sunk,40.4716971,-74.0167147
